18B 7CB 1C 7FD 7ED 7F3 7F9 0 6 7 5 5 7FC 7F8 7FA 7FB 
18D 7CA 19 7F7 7EB 7F5 1 A A 4 7FC 7FA 7F7 7FB 0 7FF 
18B 7CA 17 7F5 7EC 7FD 9 C 6 7F9 7F2 7FA 7FF 7 B 5 
18A 7C7 10 7F9 7F4 4 B 5 7F9 7F4 7FA 4 5 4 7FF 7FB 
18E 7C5 9 7FA 7FB A A 7F9 7EE 7F9 7 9 0 7F8 7FA 7FE 
190 7C4 8 7F7 7FE 10 4 7F3 7F7 9 A 7FF 7F6 7FC 5 4 
193 7C3 6 7FA 2 A 7FD 7F7 4 C 7FE 7F6 7FD 6 4 7FC 
1DE 7 7FC 4 7FA 2 7FC 2 7FE 1 7FF 1 7FF 0 0 0 
1DF 6 7FD 4 7FA 2 7FC 3 7FD 0 7FE 1 7FF 7FF 7FF 0 
1E0 6 7FC 3 7FA 3 7FC 2 7FD 1 7FF 0 7FE 0 7FF 0 
1E3 5 7FD 4 7FA 4 7FC 3 7FD 0 7FE 0 7FE 1 7FE 0 
1E4 5 7FD 3 7FB 3 7FB 3 7FD 0 7FF 0 7FF 0 7FE 7FF 
1E5 5 7FD 3 7FB 3 7FB 3 7FC 1 7FE 1 7FF 1 7FF 7FE 
1E7 5 7FD 2 7FD 1 7FB 2 7FC 2 7FC 2 7FE 1 7FE 7FF 
1E8 5 7FD 2 7FC 1 7FC 2 7FC 3 7FC 2 7FD 2 7FE 7FF 
1EA 5 7FD 3 7FD 1 7FD 2 7FB 3 7FC 3 7FC 1 7FE 0 
1EB 5 7FD 2 7FE 1 7FC 2 7FC 3 7FC 3 7FD 1 7FF 1 
1EC 4 7FE 2 7FD 1 7FD 1 7FC 2 7FC 3 7FC 1 7FF 0 
1EF 4 7FD 4 7FC 1 7FA 1 7FC 1 7FC 1 7FC 0 7FF 0 
1EF 5 7FC 4 7FC 1 7FB 1 7FC 1 7FC 0 7FC 2 7FE 0 
1F0 5 7FC 3 7FA 2 7FB 1 7FC 1 7FD 1 7FC 0 7FF 0 
1F0 4 7FB 2 7FA 3 7FC 4 7FC 1 7FD 1 7FE 1 7FE 1 
1F0 3 7FA 0 7FA 4 7FC 4 7FC 1 7FE 2 7FE 1 7FE 1 
17C 7D2 A 14 9 D 6 0 1 4 7FD 7FF 1 7FB 0 7FE 
174 7DA 6 17 C D 4 0 2 3 7FE 7FF 0 7FC 7FF 7FE 
164 7EB 2 17 D 9 5 2 1 2 7FE 7FF 7FF 7FE 7FE 0 
153 7FB 1 13 12 7 5 4 7FF 1 7FF 7FF 7FE 7FE 7FE 7FE 
145 8 3 D 16 6 4 4 7FE 3 0 7FF 7FE 7FF 7FD 7FE 
13D F 6 B 16 6 7FF 8 7FD 1 7FF 0 7FE 7FD 0 7FE 
13F 11 5 E 12 D 7F5 C 2 7FD 7FE 3 2 7FE 0 7FE 
14D F 7F5 F 16 11 7FA 8 1 7FE 1 7FE 1 7FF 7FE 7FF 
161 C 7E3 F 1A 16 7FE 4 0 7FF 2 7FC 7FF 0 7FC 0 
175 8 7D5 11 1D 15 0 1 0 7FF 5 7FE 7FF 2 7FC 1 
185 6 7CE 12 1E 14 0 7FF 2 7FB 4 1 7FE 1 0 7FF 
18E 7FC 7D2 11 21 13 3 7FD 0 7FF 4 1 7FC 7FD 7FF 1 
191 7F7 7D4 11 23 14 5 7FD 7FD 1 2 1 7FE 7FD 7FE 0 
191 7FB 7D3 E 23 13 6 1 7FC 7FB 0 2 2 0 7FD 7FF 
193 7FD 7D2 B 24 13 8 4 7FB 7F9 0 1 2 2 7FF 7FE 
194 7FF 7D0 A 24 10 6 7 7FD 7FA 1 7FE 7FF 0 7FE 0 
1B7 B 7F6 1 7FC 3 7FE 3 0 2 7FE 7FF 7FE 7FE 7FE 7FF 
185 E 7FD 3 7FF 4 7FF 1 0 0 7FE 7FF 7FF 7FF 7FF 7FF 
143 10 2 5 2 2 7FE 0 0 7FE 7FF 7FF 0 0 0 0 
113 F 3 4 2 0 0 7FE 7FF 7FE 0 0 1 1 0 0 
103 A 2 0 2 7FF 1 7FE 1 7FF 0 0 1 1 7FF 0 
